5	10	1.23678e-05
5	50	9.13471e-06
5	100	1.33941e-05
10	10	2.9149e-05
10	50	2.51974e-05
10	100	2.84305e-05
20	10	6.40456e-05
20	50	0.000268037
20	100	0.000164168
40	10	0.000292157
40	50	0.000328901
40	100	0.000204812
60	10	0.00038104
60	50	0.000527042
60	100	0.00047834
1000	100	0.068948
1000	500	0.0791521
1000	1000	0.0789618
2000	100	0.215832
2000	500	0.281366
2000	1000	0.231258
5000	100	1.52089
5000	500	1.32778
5000	1000	1.4149
10000	100	5.52491
10000	500	6.01075
10000	1000	6.09909
12000	100	8.42482
12000	500	7.26891
12000	1000	7.68351
